,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-07 05:00:00,99.93701048461133,0.0,168.21800325,0.0,0.0,0.0,0.0,68.280994,168.21800325,99.93700925,0.0
2019-01-07 06:00:00,122.86898100860789,0.0,182.89884716999998,0.0,0.0,0.0,0.0,60.029867,182.89884716999998,122.86898016999999,0.0
2019-01-07 07:00:00,128.13959623204013,0.0,193.29777828,0.0,0.0,0.0,0.0,65.158183,193.29777828,128.13959527999998,0.0
2019-01-07 08:00:00,118.68541035286637,5.070317720299999,207.97862220000002,0.0,0.0,0.0,0.0,94.363531,213.04893992030003,118.68540892030003,0.0
2019-01-07 09:00:00,115.38479620188417,31.521379592,203.08500756,0.0,0.0,0.0,0.0,119.22159,234.606387152,115.38479715199999,0.0
2019-01-07 10:00:00,103.13327659796363,30.7380638716,204.30841122,0.0,0.0,0.0,0.0,131.9132,235.0464750916,103.13327509160001,0.0
2019-01-07 11:00:00,104.40875935232877,27.4561597539,223.27116794999998,0.0,0.0,0.0,0.0,146.31857,250.7273277039,104.4087577039,0.0
2019-01-07 12:00:00,108.94367908691504,17.641119401899996,244.680732,0.0,0.0,0.0,0.0,153.37817,262.3218514019,108.9436814019,0.0
2019-01-07 13:00:00,115.35408435973831,7.958204593099999,253.24455761999997,0.0,0.0,0.0,0.0,145.84868,261.20276221309996,115.35408221309996,0.0
2019-01-07 14:00:00,118.59678168096387,0.0,302.18070402,0.0,0.0,0.0,0.0,183.58392,302.18070402,118.59678402,0.0
2019-01-07 15:00:00,132.9818509093933,0.0,389.65406571,0.0,0.0,0.0,0.0,256.67222,389.65406571,132.98184571000002,0.0
2019-01-07 16:00:00,191.84482916927743,0.0,430.63808831999995,0.0,0.0,0.0,0.0,238.79326,430.63808831999995,191.84482831999995,0.0
2019-01-07 17:00:00,267.94610455583353,0.0,444.09552857999995,0.0,0.0,0.0,0.0,176.14943,444.09552857999995,267.94609857999995,0.0
2019-01-07 18:00:00,305.80539243122433,0.0,439.20191393999994,0.0,0.0,0.0,0.0,133.39652,439.20191393999994,305.80539393999993,0.0
2019-01-07 19:00:00,314.0004418098189,0.0,456.32956518,0.0,0.0,0.0,0.0,142.32913,456.32956518,314.00043517999995,0.0
2019-01-07 20:00:00,309.8759356254392,0.0,466.72849629,0.0,0.0,0.0,0.0,156.85256,466.72849629,309.87593629,0.0
2019-01-07 21:00:00,277.9916741856033,0.0,469.78700544,0.0,0.0,0.0,0.0,191.79533,469.78700544,277.99167544,0.0
2019-01-07 22:00:00,229.90931706991734,0.0,448.98914321999996,0.0,0.0,0.0,0.0,219.07983,448.98914321999996,229.90931321999997,0.0
2019-01-07 23:00:00,166.9828338400983,0.0,430.02638648999994,0.0,0.0,0.0,0.0,263.04356,430.02638648999994,166.98282648999992,0.0
2019-01-08 00:00:00,114.60751734458488,0.0,421.46256086999995,0.0,0.0,0.0,0.0,306.85505,421.46256086999995,114.60751086999994,0.0
2019-01-08 01:00:00,88.16050302488858,0.0,393.93597852,0.0,0.0,0.0,0.0,305.77548,393.93597852,88.16049851999998,0.0
2019-01-08 02:00:00,77.64043572263527,0.0,363.96258885,0.0,0.0,0.0,0.0,286.32216,363.96258885,77.64042884999998,0.0
2019-01-08 03:00:00,72.28411985844377,0.0,259.97327774999997,0.0,0.0,0.0,0.0,187.68916,259.97327774999997,72.28411774999998,0.0
2019-01-08 04:00:00,81.49057661848305,0.0,178.00523252999997,0.0,0.0,0.0,0.0,96.514657,178.00523252999997,81.49057552999997,0.0
2019-01-08 05:00:00,101.19578883730854,0.0,283.82964912,0.0,0.0,0.0,0.0,182.63386,283.82964912,101.19578912,0.0
